z,k(s^-1)
0.0000E+000,6.785516983660016e-15
0.4912E-001,7.906332859632898e-15
0.1006E+000,9.275850597044364e-15
0.1547E+000,1.0939597144315292e-14
0.2114E+000,1.2956846762880286e-14
0.2709E+000,1.5393933847076407e-14
0.3333E+000,1.833046404888779e-14
0.3988E+000,2.185915657848504e-14
0.4675E+000,2.6081444711569686e-14
0.5396E+000,3.1115824499509734e-14
0.6152E+000,3.7084813400229403e-14
0.6945E+000,4.412422126293641e-14
0.7778E+000,5.2368240811223316e-14
0.8651E+000,6.196585243945278e-14
0.9567E+000,7.30490145313358e-14
0.1053E+001,8.573004224641812e-14
0.1154E+001,1.0008334715258468e-13
0.1259E+001,1.1615394481815956e-13
0.1370E+001,1.339590254767075e-13
0.1487E+001,1.533818868233357e-13
0.1609E+001,1.742262285848229e-13
0.1737E+001,1.965115011836372e-13
0.1871E+001,2.210264290453229e-13
0.2013E+001,2.4930547179283955e-13
0.2160E+001,2.795476203790057e-13
0.2316E+001,3.072883235327442e-13
0.2479E+001,3.3130006808983444e-13
0.2649E+001,3.5050876558295776e-13
0.2829E+001,3.641413562905221e-13
0.3017E+001,3.720481652717391e-13
0.3214E+001,3.7436600760030224e-13
0.3421E+001,3.716512613447384e-13
0.3638E+001,3.6467938535867054e-13
0.3866E+001,3.542736260602393e-13
0.4105E+001,3.412430448765989e-13
0.4356E+001,3.2640493093837836e-13
0.4619E+001,3.10494606358024e-13
0.4895E+001,2.937671479688469e-13
0.5184E+001,2.755645399778249e-13
0.5488E+001,2.532479332570254e-13
0.5807E+001,2.3058915411027535e-13
0.6141E+001,2.1228889331108654e-13
0.6492E+001,1.9812031435549094e-13
0.6859E+001,1.8645780376099e-13
0.7246E+001,1.7595153036661616e-13
0.7650E+001,1.6589835881983324e-13
0.8075E+001,1.561420478082066e-13
0.8521E+001,1.4672796569390917e-13
0.8989E+001,1.377168300798847e-13
0.9479E+001,1.2912560887649026e-13
0.9994E+001,1.2080044098194525e-13
0.1053E+002,1.1261222347214251e-13
0.1110E+002,1.0443731509285407e-13
0.1169E+002,9.591600619945411e-14
0.1232E+002,8.69437680853833e-14
0.1297E+002,7.733707309097769e-14
0.1366E+002,6.63164500419392e-14
0.1438E+002,5.350709927583828e-14
0.1513E+002,3.800736867503612e-14
0.1593E+002,0.0
