z,k(s^-1)
0.0000E+000,3.5412388436050337e-12
0.4912E-001,4.095837146471241e-12
0.1006E+000,4.731927154774784e-12
0.1547E+000,5.457744026662428e-12
0.2114E+000,6.282344072694268e-12
0.2709E+000,7.214601693879924e-12
0.3333E+000,8.263148718864638e-12
0.3988E+000,9.436828778347126e-12
0.4675E+000,1.0743148761723674e-11
0.5396E+000,1.2191211875483816e-11
0.6152E+000,1.3786501609146674e-11
0.6945E+000,1.553296076782712e-11
0.7778E+000,1.742768783163896e-11
0.8651E+000,1.946281547946683e-11
0.9567E+000,2.1623564352394936e-11
0.1053E+001,2.3892780857541114e-11
0.1154E+001,2.6248047972960982e-11
0.1259E+001,2.8658518349177676e-11
0.1370E+001,3.1087166394317746e-11
0.1487E+001,3.3489616768944064e-11
0.1609E+001,3.58271325625606e-11
0.1737E+001,3.8077050149479585e-11
0.1871E+001,4.0269910801120694e-11
0.2013E+001,4.2481173330873386e-11
0.2160E+001,4.454921081470033e-11
0.2316E+001,4.6137124711517035e-11
0.2479E+001,4.7182573171825166e-11
0.2649E+001,4.765072942153133e-11
0.2829E+001,4.753696204429139e-11
0.3017E+001,4.6885814291823355e-11
0.3214E+001,4.575820905698214e-11
0.3421E+001,4.423681699975674e-11
0.3638E+001,4.240790236538724e-11
0.3866E+001,4.035341106323293e-11
0.4105E+001,3.815505857429889e-11
0.4356E+001,3.588329187613248e-11
0.4619E+001,3.35988022595374e-11
0.4895E+001,3.1340172169398816e-11
0.5184E+001,2.9078900258100575e-11
0.5488E+001,2.6662994606196428e-11
0.5807E+001,2.4271821394202487e-11
0.6141E+001,2.222921322106203e-11
0.6492E+001,2.0509578901855994e-11
0.6859E+001,1.9008697818191995e-11
0.7246E+001,1.7648061591842905e-11
0.7650E+001,1.6384481578468122e-11
0.8075E+001,1.519709416831637e-11
0.8521E+001,1.4074465770337844e-11
0.8989E+001,1.300735106603784e-11
0.9479E+001,1.1991115895055415e-11
0.9994E+001,1.1019879566567721e-11
0.1053E+002,1.0086069269571302e-11
0.1110E+002,9.173952137443115e-12
0.1169E+002,8.262928698722825e-12
0.1232E+002,7.323922848786133e-12
0.1297E+002,6.339061532007843e-12
0.1366E+002,5.2719283227012335e-12
0.1438E+002,4.110739839299814e-12
0.1513E+002,2.765420212290124e-12
0.1593E+002,0.0
