"Mass Fraction(Z'), created by Plot Digitizer, 2.6.8"
"Date: 2/10/19, 3:07:53 PM"


51
Z',Mass Fraction
0.00102950,3.29199e-09,
0.00117198,3.80738e-09,
0.00131208,4.53426e-09,
0.00153163,5.47835e-09,
0.00175090,6.24409e-09,
0.00199324,7.43564e-09,
0.00226910,8.59976e-09,
0.00255094,9.80249e-09,
0.00292835,1.11724e-08,
0.00327838,1.31126e-08,
0.00379504,1.53874e-08,
0.00433830,1.70335e-08,
0.00491820,2.05826e-08,
0.00555226,2.38059e-08,
0.00634713,2.71334e-08,
0.00734747,3.23089e-08,
0.00836431,3.68255e-08,
0.00980453,4.13602e-08,
0.0117847,4.71313e-08,
0.0142838,5.61104e-08,
0.0165348,6.39499e-08,
0.0185883,6.97700e-08,
0.0211603,7.50125e-08,
0.0245975,8.54914e-08,
0.0283547,9.46337e-08,
0.0318762,1.04765e-07,
0.0356849,1.09403e-07,
0.0407939,1.26529e-07,
0.0466344,1.48488e-07,
0.0530881,1.66793e-07,
0.0586925,1.90133e-07,
0.0679420,2.19885e-07,
0.0796415,2.54278e-07,
0.0918069,2.85610e-07,
0.105387,3.02609e-07,
0.125613,3.15923e-07,
0.152240,3.02139e-07,
0.176957,2.84818e-07,
0.198088,2.46011e-07,
0.221743,2.15617e-07,
0.252408,1.88964e-07,
0.283733,1.65615e-07,
0.309753,1.49470e-07,
0.352592,1.34875e-07,
0.409826,1.16480e-07,
0.478338,9.62808e-08,
0.553661,8.19455e-08,
0.635511,6.97470e-08,
0.748005,6.38532e-08,
0.851459,5.84657e-08,
0.997969,4.90369e-08,
