"Mass Fraction(Z'), created by Plot Digitizer, 2.6.8"
"Date: 2/10/19, 2:53:44 PM"


61
Z',Mass Fraction
0.00102686,7.80400e-08,
0.00113298,8.77271e-08,
0.00130895,1.01121e-07,
0.00149651,1.16073e-07,
0.00168256,1.32127e-07,
0.00189966,1.51664e-07,
0.00214477,1.71204e-07,
0.00240636,1.98169e-07,
0.00267736,2.19075e-07,
0.00293555,2.43201e-07,
0.00327298,2.75684e-07,
0.00363396,3.09905e-07,
0.00400950,3.55729e-07,
0.00447973,4.03242e-07,
0.00505776,4.68707e-07,
0.00563912,5.63321e-07,
0.00635344,6.30606e-07,
0.00705416,7.20832e-07,
0.00791453,8.30884e-07,
0.00893575,9.14708e-07,
0.0101310,1.01121e-06,
0.0115344,1.12257e-06,
0.0128872,1.21026e-06,
0.0143385,1.33794e-06,
0.0160873,1.44850e-06,
0.0181630,1.60802e-06,
0.0202932,1.75551e-06,
0.0230077,1.93262e-06,
0.0264149,2.13650e-06,
0.0299484,2.37179e-06,
0.0338835,2.61107e-06,
0.0396408,2.99715e-06,
0.0443827,3.25842e-06,
0.0499001,3.54245e-06,
0.0558693,3.96557e-06,
0.0622912,4.31126e-06,
0.0693061,4.66752e-06,
0.0748849,5.05323e-06,
0.0840183,5.58633e-06,
0.0936758,6.22749e-06,
0.105763,6.94225e-06,
0.118414,7.67463e-06,
0.127146,8.27419e-06,
0.142653,9.41861e-06,
0.162074,1.03688e-05,
0.180704,1.16073e-05,
0.210085,1.34354e-05,
0.239687,1.50402e-05,
0.272889,1.69071e-05,
0.306813,1.85352e-05,
0.339229,2.01509e-05,
0.367303,2.18161e-05,
0.416435,2.40171e-05,
0.464303,2.64401e-05,
0.526411,2.89861e-05,
0.589381,3.15128e-05,
0.671022,3.41170e-05,
0.748153,3.72463e-05,
0.848230,3.98218e-05,
0.975884,4.29328e-05,
1.00489,4.43923e-05,
